word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio,source,source_url,license
wheel and axle,wˈil ʌnd ˈæksʌl,a simple machine made of a wheel attached to a central axle,轮轴,n.,,,k12_stem k12_science physical_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""physical_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
whole number,hˈoʊl nˈʌmbɝ,"one of the numbers 0, 1, 2, 3, and so on",全数；非负整数,n.,,,k12_stem k12_math number grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""number""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
width,wˈɪdθ,the distance across an object,宽度,n.,,,k12_stem k12_math measurement grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""measurement""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
wind,wˈaɪnd,moving air,风,n.,,,k12_stem k12_science earth_space_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""earth_space_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
work,wˈɝk,energy transferred when a force moves an object,功,n.,,,k12_stem k12_science physical_science grade_k_12 ap_stem grade_ap ap_physics_1 science physics,,,,"{""aliases"": [], ""ap_courses"": [""ap_physics_1""], ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-physics-1"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 92, ""k12_rank"": 6008, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""physics""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
x-axis,ˈɛks ˈæksʌs,the horizontal axis in a coordinate plane,x轴；横轴,n.,,,k12_stem k12_math geometry grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""geometry""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
x-intercept,ˈɛks ˈɪntərsɛpt,the point where a graph crosses the x-axis,x截距,n.,,,k12_stem k12_math functions grade_6_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""6-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""functions""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
y-axis,wˈaɪ ˈæksʌs,the vertical axis in a coordinate plane,y轴；纵轴,n.,,,k12_stem k12_math geometry grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""geometry""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
y-intercept,wˈaɪ ˈɪntərsɛpt,the point where a graph crosses the y-axis,y截距,n.,,,k12_stem k12_math functions grade_6_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""6-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""functions""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
macromolecule,,"a large molecule such as a protein, lipid, carbohydrate, or nucleic acid",大分子,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
monomer,,a small molecule that can join with others to form a polymer,单体,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
polymer,,a large molecule made of repeating monomers,聚合物,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
carbohydrate,,a sugar or starch used for energy or structure,碳水化合物,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
lipid,,a fatlike molecule that is mostly nonpolar,脂质,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
protein,,a polymer of amino acids that performs cell functions,蛋白质,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
amino acid,,a monomer that makes up proteins,氨基酸,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
nucleic acid,,a polymer such as DNA or RNA that stores genetic information,核酸,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
nucleotide,,a monomer of DNA or RNA,核苷酸,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
enzyme,,a protein or RNA molecule that speeds up a reaction,酶,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
active site,,the part of an enzyme where a substrate binds,活性位点,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
substrate,,the reactant that binds to an enzyme,底物,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
denaturation,,the loss of a protein’s normal shape and function,变性,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
hydrolysis,,a reaction that breaks a bond by adding water,水解,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
dehydration synthesis,,a reaction that joins molecules by removing water,脱水合成,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
phospholipid,,a lipid with a phosphate head and fatty acid tails,磷脂,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
selective permeability,,the property of allowing some substances to cross more easily than others,选择透过性,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
diffusion,,movement from higher concentration to lower concentration,扩散,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
osmosis,,diffusion of water across a selectively permeable membrane,渗透,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
facilitated diffusion,,passive transport through a membrane protein,协助扩散,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
active transport,,transport across a membrane that requires energy,主动运输,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
endocytosis,,taking material into a cell by forming a vesicle,胞吞作用,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
exocytosis,,releasing material from a cell by a vesicle fusing with the membrane,胞吐作用,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
organelle,,a specialized structure inside a cell,细胞器,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
ribosome,,the cell structure that builds proteins,核糖体,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
endoplasmic reticulum,,a membrane system involved in protein and lipid processing,内质网,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
Golgi apparatus,,an organelle that modifies and ships cell products,高尔基体,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
lysosome,,an organelle that digests cellular material,溶酶体,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
mitochondrion,,an organelle that makes ATP by cellular respiration,线粒体,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
cytoskeleton,,protein fibers that support cell shape and movement,细胞骨架,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
ATP,,the main energy-carrying molecule in cells,三磷酸腺苷,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
glycolysis,,the first stage of cellular respiration that splits glucose,糖酵解,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
Krebs cycle,,a cycle that oxidizes molecules and produces electron carriers,克雷布斯循环,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
citric acid cycle,,another name for the Krebs cycle,柠檬酸循环,n.,,,k12_stem ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_course"": ""ap_biology"", ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_AP_STEM,https://apcentral.collegeboard.org/courses/ap-biology,WordFan original concise definitions/translations; coverage informed by College Board AP course pages and common AP classroom terminology
